Parameter,,,,
Table Analyzed,Interburst Interval,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.162,3.343,2.181,2.097 to 2.265
  Yan,0.0000,3.341,3.341,2.808 to 3.874
,,,,
Model,Difference,t,P value,Summary
  TB,2.181,97.27,P<0.001,***
  Yan,3.341,23.49,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.162,3.256,2.093,2.010 to 2.177
  Yan,0.0000,3.080,3.080,2.548 to 3.613
,,,,
Model,Difference,t,P value,Summary
  TB,2.093,93.39,P<0.001,***
  Yan,3.080,21.66,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.162,2.876,1.714,1.630 to 1.798
  Yan,0.0000,2.451,2.451,1.918 to 2.984
,,,,
Model,Difference,t,P value,Summary
  TB,1.714,76.46,P<0.001,***
  Yan,2.451,17.23,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.162,2.367,1.205,1.121 to 1.289
  Yan,0.0000,1.944,1.944,1.411 to 2.477
,,,,
Model,Difference,t,P value,Summary
  TB,1.205,53.74,P<0.001,***
  Yan,1.944,13.67,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.162,1.274,0.1119,0.03907 to 0.1847
  Yan,0.0000,1.632,1.632,1.100 to 2.165
,,,,
Model,Difference,t,P value,Summary
  TB,0.1119,5.756,P<0.001,***
  Yan,1.632,11.48,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.162,3.406,2.244,2.160 to 2.328
  Yan,0.0000,3.384,3.384,2.852 to 3.917
,,,,
Model,Difference,t,P value,Summary
  TB,2.244,100.1,P<0.001,***
  Yan,3.384,23.80,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.162,3.357,2.194,2.111 to 2.278
  Yan,0.0000,3.332,3.332,2.799 to 3.865
,,,,
Model,Difference,t,P value,Summary
  TB,2.194,97.90,P<0.001,***
  Yan,3.332,23.43,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.162,3.302,2.140,2.056 to 2.224
  Yan,0.0000,3.274,3.274,2.741 to 3.806
,,,,
Model,Difference,t,P value,Summary
  TB,2.140,95.47,P<0.001,***
  Yan,3.274,23.02,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.162,3.226,2.063,1.979 to 2.147
  Yan,0.0000,3.064,3.064,2.531 to 3.596
,,,,
Model,Difference,t,P value,Summary
  TB,2.063,92.05,P<0.001,***
  Yan,3.064,21.54,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.162,3.106,1.944,1.860 to 2.028
  Yan,0.0000,2.755,2.755,2.223 to 3.288
,,,,
Model,Difference,t,P value,Summary
  TB,1.944,86.70,P<0.001,***
  Yan,2.755,19.37,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  TB,0.6247,3.134,2.509,2.425 to 2.593
  Yan,0.0000,2.716,2.716,2.183 to 3.248
,,,,
Model,Difference,t,P value,Summary
  TB,2.509,111.9,P<0.001,***
  Yan,2.716,19.10,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  TB,0.6247,2.360,1.735,1.651 to 1.819
  Yan,0.0000,1.877,1.877,1.344 to 2.409
,,,,
Model,Difference,t,P value,Summary
  TB,1.735,77.39,P<0.001,***
  Yan,1.877,13.20,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,0.6247,1.754,1.129,1.045 to 1.213
  Yan,0.0000,1.387,1.387,0.8545 to 1.920
,,,,
Model,Difference,t,P value,Summary
  TB,1.129,50.38,P<0.001,***
  Yan,1.387,9.754,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.6247,1.407,0.7823,0.6983 to 0.8662
  Yan,0.0000,1.046,1.046,0.5132 to 1.579
,,,,
Model,Difference,t,P value,Summary
  TB,0.7823,34.90,P<0.001,***
  Yan,1.046,7.355,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.6247,1.150,0.5249,0.4410 to 0.6089
  Yan,0.0000,0.8258,0.8258,0.2931 to 1.358
,,,,
Model,Difference,t,P value,Summary
  TB,0.5249,23.42,P<0.001,***
  Yan,0.8258,5.807,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,0.6247,3.343,2.718,2.634 to 2.802
  Yan,0.0000,3.341,3.341,2.808 to 3.874
,,,,
Model,Difference,t,P value,Summary
  TB,2.718,121.3,P<0.001,***
  Yan,3.341,23.49,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,0.6247,3.256,2.631,2.547 to 2.715
  Yan,0.0000,3.080,3.080,2.548 to 3.613
,,,,
Model,Difference,t,P value,Summary
  TB,2.631,117.4,P<0.001,***
  Yan,3.080,21.66,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,0.6247,2.876,2.251,2.168 to 2.335
  Yan,0.0000,2.451,2.451,1.918 to 2.984
,,,,
Model,Difference,t,P value,Summary
  TB,2.251,100.4,P<0.001,***
  Yan,2.451,17.23,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.6247,2.367,1.742,1.658 to 1.826
  Yan,0.0000,1.944,1.944,1.411 to 2.477
,,,,
Model,Difference,t,P value,Summary
  TB,1.742,77.73,P<0.001,***
  Yan,1.944,13.67,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.6247,1.274,0.6495,0.5767 to 0.7222
  Yan,0.0000,1.632,1.632,1.100 to 2.165
,,,,
Model,Difference,t,P value,Summary
  TB,0.6495,33.42,P<0.001,***
  Yan,1.632,11.48,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,0.6247,3.406,2.781,2.697 to 2.865
  Yan,0.0000,3.384,3.384,2.852 to 3.917
,,,,
Model,Difference,t,P value,Summary
  TB,2.781,124.1,P<0.001,***
  Yan,3.384,23.80,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,0.6247,3.357,2.732,2.648 to 2.816
  Yan,0.0000,3.332,3.332,2.799 to 3.865
,,,,
Model,Difference,t,P value,Summary
  TB,2.732,121.9,P<0.001,***
  Yan,3.332,23.43,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,0.6247,3.302,2.678,2.594 to 2.762
  Yan,0.0000,3.274,3.274,2.741 to 3.806
,,,,
Model,Difference,t,P value,Summary
  TB,2.678,119.5,P<0.001,***
  Yan,3.274,23.02,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.6247,3.226,2.601,2.517 to 2.685
  Yan,0.0000,3.064,3.064,2.531 to 3.596
,,,,
Model,Difference,t,P value,Summary
  TB,2.601,116.0,P<0.001,***
  Yan,3.064,21.54,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.6247,3.106,2.481,2.397 to 2.565
  Yan,0.0000,2.755,2.755,2.223 to 3.288
,,,,
Model,Difference,t,P value,Summary
  TB,2.481,110.7,P<0.001,***
  Yan,2.755,19.37,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.134,2.360,-0.7741,-0.8578 to -0.6904
  Yan,2.716,1.877,-0.8390,-0.9227 to -0.7553
,,,,
Model,Difference,t,P value,Summary
  TB,-0.7741,34.64,P<0.001,***
  Yan,-0.8390,37.55,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.134,1.754,-1.380,-1.463 to -1.296
  Yan,2.716,1.387,-1.329,-1.412 to -1.245
,,,,
Model,Difference,t,P value,Summary
  TB,-1.380,61.74,P<0.001,***
  Yan,-1.329,59.46,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.134,1.407,-1.727,-1.810 to -1.643
  Yan,2.716,1.046,-1.670,-1.754 to -1.586
,,,,
Model,Difference,t,P value,Summary
  TB,-1.727,77.27,P<0.001,***
  Yan,-1.670,74.73,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.134,1.150,-1.984,-2.068 to -1.900
  Yan,2.716,0.8258,-1.890,-1.974 to -1.806
,,,,
Model,Difference,t,P value,Summary
  TB,-1.984,88.79,P<0.001,***
  Yan,-1.890,84.58,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.134,3.343,0.2091,0.1254 to 0.2928
  Yan,2.716,3.341,0.6252,0.5415 to 0.7089
,,,,
Model,Difference,t,P value,Summary
  TB,0.2091,9.359,P<0.001,***
  Yan,0.6252,27.98,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.134,3.256,0.1220,0.03835 to 0.2057
  Yan,2.716,3.080,0.3644,0.2807 to 0.4481
,,,,
Model,Difference,t,P value,Summary
  TB,0.1220,5.462,P<0.001,***
  Yan,0.3644,16.31,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.134,2.876,-0.2575,-0.3412 to -0.1738
  Yan,2.716,2.451,-0.2649,-0.3486 to -0.1812
,,,,
Model,Difference,t,P value,Summary
  TB,-0.2575,11.53,P<0.001,***
  Yan,-0.2649,11.85,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.134,2.367,-0.7667,-0.8504 to -0.6830
  Yan,2.716,1.944,-0.7719,-0.8556 to -0.6882
,,,,
Model,Difference,t,P value,Summary
  TB,-0.7667,34.31,P<0.001,***
  Yan,-0.7719,34.54,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.134,1.274,-1.860,-1.932 to -1.787
  Yan,2.716,1.632,-1.083,-1.167 to -0.9998
,,,,
Model,Difference,t,P value,Summary
  TB,-1.860,96.09,P<0.001,***
  Yan,-1.083,48.49,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.134,3.406,0.2724,0.1887 to 0.3561
  Yan,2.716,3.384,0.6687,0.5850 to 0.7524
,,,,
Model,Difference,t,P value,Summary
  TB,0.2724,12.19,P<0.001,***
  Yan,0.6687,29.92,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.134,3.357,0.2231,0.1394 to 0.3068
  Yan,2.716,3.332,0.6164,0.5327 to 0.7001
,,,,
Model,Difference,t,P value,Summary
  TB,0.2231,9.982,P<0.001,***
  Yan,0.6164,27.58,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.134,3.302,0.1687,0.08505 to 0.2524
  Yan,2.716,3.274,0.5578,0.4741 to 0.6415
,,,,
Model,Difference,t,P value,Summary
  TB,0.1687,7.552,P<0.001,***
  Yan,0.5578,24.96,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.134,3.226,0.09200,0.008296 to 0.1757
  Yan,2.716,3.064,0.3479,0.2642 to 0.4316
,,,,
Model,Difference,t,P value,Summary
  TB,0.09200,4.117,P<0.001,***
  Yan,0.3479,15.57,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.134,3.106,-0.02784,-0.1115 to 0.05586
  Yan,2.716,2.755,0.03943,-0.04426 to 0.1231
,,,,
Model,Difference,t,P value,Summary
  TB,-0.02784,1.246,P > 0.05,ns
  Yan,0.03943,1.765,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,2.360,1.754,-0.6055,-0.6892 to -0.5218
  Yan,1.877,1.387,-0.4896,-0.5733 to -0.4059
,,,,
Model,Difference,t,P value,Summary
  TB,-0.6055,27.10,P<0.001,***
  Yan,-0.4896,21.91,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,2.360,1.407,-0.9527,-1.036 to -0.8690
  Yan,1.877,1.046,-0.8308,-0.9145 to -0.7471
,,,,
Model,Difference,t,P value,Summary
  TB,-0.9527,42.63,P<0.001,***
  Yan,-0.8308,37.18,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,2.360,1.150,-1.210,-1.294 to -1.126
  Yan,1.877,0.8258,-1.051,-1.135 to -0.9673
,,,,
Model,Difference,t,P value,Summary
  TB,-1.210,54.15,P<0.001,***
  Yan,-1.051,47.03,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,2.360,3.343,0.9832,0.8995 to 1.067
  Yan,1.877,3.341,1.464,1.380 to 1.548
,,,,
Model,Difference,t,P value,Summary
  TB,0.9832,44.00,P<0.001,***
  Yan,1.464,65.52,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,2.360,3.256,0.8962,0.8125 to 0.9799
  Yan,1.877,3.080,1.203,1.120 to 1.287
,,,,
Model,Difference,t,P value,Summary
  TB,0.8962,40.10,P<0.001,***
  Yan,1.203,53.86,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,2.360,2.876,0.5166,0.4329 to 0.6003
  Yan,1.877,2.451,0.5741,0.4904 to 0.6578
,,,,
Model,Difference,t,P value,Summary
  TB,0.5166,23.12,P<0.001,***
  Yan,0.5741,25.69,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,2.360,2.367,0.007422,-0.07628 to 0.09112
  Yan,1.877,1.944,0.06711,-0.01659 to 0.1508
,,,,
Model,Difference,t,P value,Summary
  TB,0.007422,0.3321,P > 0.05,ns
  Yan,0.06711,3.003,P<0.01,**
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,2.360,1.274,-1.085,-1.158 to -1.013
  Yan,1.877,1.632,-0.2445,-0.3282 to -0.1608
,,,,
Model,Difference,t,P value,Summary
  TB,-1.085,56.09,P<0.001,***
  Yan,-0.2445,10.94,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,2.360,3.406,1.047,0.9628 to 1.130
  Yan,1.877,3.384,1.508,1.424 to 1.591
,,,,
Model,Difference,t,P value,Summary
  TB,1.047,46.83,P<0.001,***
  Yan,1.508,67.47,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,2.360,3.357,0.9972,0.9135 to 1.081
  Yan,1.877,3.332,1.455,1.372 to 1.539
,,,,
Model,Difference,t,P value,Summary
  TB,0.9972,44.62,P<0.001,***
  Yan,1.455,65.13,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,2.360,3.302,0.9428,0.8592 to 1.027
  Yan,1.877,3.274,1.397,1.313 to 1.480
,,,,
Model,Difference,t,P value,Summary
  TB,0.9428,42.19,P<0.001,***
  Yan,1.397,62.51,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,2.360,3.226,0.8661,0.7824 to 0.9498
  Yan,1.877,3.064,1.187,1.103 to 1.271
,,,,
Model,Difference,t,P value,Summary
  TB,0.8661,38.76,P<0.001,***
  Yan,1.187,53.12,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,2.360,3.106,0.7463,0.6626 to 0.8300
  Yan,1.877,2.755,0.8785,0.7948 to 0.9622
,,,,
Model,Difference,t,P value,Summary
  TB,0.7463,33.40,P<0.001,***
  Yan,0.8785,39.31,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.754,1.407,-0.3472,-0.4309 to -0.2635
  Yan,1.387,1.046,-0.3412,-0.4249 to -0.2575
,,,,
Model,Difference,t,P value,Summary
  TB,-0.3472,15.54,P<0.001,***
  Yan,-0.3412,15.27,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.754,1.150,-0.6045,-0.6882 to -0.5208
  Yan,1.387,0.8258,-0.5614,-0.6451 to -0.4777
,,,,
Model,Difference,t,P value,Summary
  TB,-0.6045,27.05,P<0.001,***
  Yan,-0.5614,25.12,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.754,3.343,1.589,1.505 to 1.672
  Yan,1.387,3.341,1.954,1.870 to 2.037
,,,,
Model,Difference,t,P value,Summary
  TB,1.589,71.10,P<0.001,***
  Yan,1.954,87.43,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.754,3.256,1.502,1.418 to 1.585
  Yan,1.387,3.080,1.693,1.609 to 1.777
,,,,
Model,Difference,t,P value,Summary
  TB,1.502,67.20,P<0.001,***
  Yan,1.693,75.77,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.754,2.876,1.122,1.038 to 1.206
  Yan,1.387,2.451,1.064,0.9800 to 1.147
,,,,
Model,Difference,t,P value,Summary
  TB,1.122,50.21,P<0.001,***
  Yan,1.064,47.60,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
