Parameter,,,,
Table Analyzed,Peaks_per_Burst,,,
  TB,66.43,28.83,-37.60,-40.34 to -34.86
  Yan,0.0000,28.90,28.90,11.40 to 46.40
,,,,
Model,Difference,t,P value,Summary
  TB,-37.60,51.37,P<0.001,***
  Yan,28.90,6.187,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,66.43,36.84,-29.59,-32.33 to -26.84
  Yan,0.0000,37.95,37.95,20.45 to 55.45
,,,,
Model,Difference,t,P value,Summary
  TB,-29.59,40.43,P<0.001,***
  Yan,37.95,8.124,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,66.43,49.81,-16.61,-19.35 to -13.87
  Yan,0.0000,46.99,46.99,29.49 to 64.48
,,,,
Model,Difference,t,P value,Summary
  TB,-16.61,22.70,P<0.001,***
  Yan,46.99,10.06,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,66.43,57.93,-8.499,-11.24 to -5.758
  Yan,0.0000,53.85,53.85,36.35 to 71.35
,,,,
Model,Difference,t,P value,Summary
  TB,-8.499,11.61,P<0.001,***
  Yan,53.85,11.53,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,66.43,32.20,-34.23,-36.61 to -31.85
  Yan,0.0000,60.23,60.23,42.74 to 77.73
,,,,
Model,Difference,t,P value,Summary
  TB,-34.23,53.89,P<0.001,***
  Yan,60.23,12.89,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,66.43,24.73,-41.70,-44.44 to -38.96
  Yan,0.0000,25.77,25.77,8.268 to 43.26
,,,,
Model,Difference,t,P value,Summary
  TB,-41.70,56.98,P<0.001,***
  Yan,25.77,5.516,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,66.43,33.74,-32.68,-35.43 to -29.94
  Yan,0.0000,33.79,33.79,16.29 to 51.29
,,,,
Model,Difference,t,P value,Summary
  TB,-32.68,44.66,P<0.001,***
  Yan,33.79,7.233,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,66.43,41.75,-24.67,-27.41 to -21.93
  Yan,0.0000,41.80,41.80,24.31 to 59.30
,,,,
Model,Difference,t,P value,Summary
  TB,-24.67,33.71,P<0.001,***
  Yan,41.80,8.949,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,66.43,50.23,-16.19,-18.93 to -13.45
  Yan,0.0000,55.12,55.12,37.63 to 72.62
,,,,
Model,Difference,t,P value,Summary
  TB,-16.19,22.12,P<0.001,***
  Yan,55.12,11.80,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,66.43,62.67,-3.758,-6.499 to -1.017
  Yan,0.0000,67.79,67.79,50.29 to 85.29
,,,,
Model,Difference,t,P value,Summary
  TB,-3.758,5.136,P<0.001,***
  Yan,67.79,14.51,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  TB,83.69,34.01,-49.68,-52.42 to -46.93
  Yan,0.0000,38.12,38.12,20.63 to 55.62
,,,,
Model,Difference,t,P value,Summary
  TB,-49.68,67.88,P<0.001,***
  Yan,38.12,8.161,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  TB,83.69,43.22,-40.47,-43.21 to -37.72
  Yan,0.0000,49.31,49.31,31.81 to 66.81
,,,,
Model,Difference,t,P value,Summary
  TB,-40.47,55.29,P<0.001,***
  Yan,49.31,10.56,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,83.69,52.84,-30.85,-33.59 to -28.11
  Yan,0.0000,60.42,60.42,42.92 to 77.92
,,,,
Model,Difference,t,P value,Summary
  TB,-30.85,42.15,P<0.001,***
  Yan,60.42,12.93,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,83.69,61.54,-22.14,-24.89 to -19.40
  Yan,0.0000,71.41,71.41,53.91 to 88.90
,,,,
Model,Difference,t,P value,Summary
  TB,-22.14,30.26,P<0.001,***
  Yan,71.41,15.29,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,83.69,70.52,-13.17,-15.91 to -10.43
  Yan,0.0000,81.27,81.27,63.77 to 98.77
,,,,
Model,Difference,t,P value,Summary
  TB,-13.17,17.99,P<0.001,***
  Yan,81.27,17.40,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,83.69,28.83,-54.86,-57.60 to -52.12
  Yan,0.0000,28.90,28.90,11.40 to 46.40
,,,,
Model,Difference,t,P value,Summary
  TB,-54.86,74.96,P<0.001,***
  Yan,28.90,6.187,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,83.69,36.84,-46.85,-49.59 to -44.11
  Yan,0.0000,37.95,37.95,20.45 to 55.45
,,,,
Model,Difference,t,P value,Summary
  TB,-46.85,64.01,P<0.001,***
  Yan,37.95,8.124,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,83.69,49.81,-33.87,-36.61 to -31.13
  Yan,0.0000,46.99,46.99,29.49 to 64.48
,,,,
Model,Difference,t,P value,Summary
  TB,-33.87,46.28,P<0.001,***
  Yan,46.99,10.06,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,83.69,57.93,-25.76,-28.50 to -23.02
  Yan,0.0000,53.85,53.85,36.35 to 71.35
,,,,
Model,Difference,t,P value,Summary
  TB,-25.76,35.20,P<0.001,***
  Yan,53.85,11.53,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,83.69,32.20,-51.49,-53.87 to -49.11
  Yan,0.0000,60.23,60.23,42.74 to 77.73
,,,,
Model,Difference,t,P value,Summary
  TB,-51.49,81.07,P<0.001,***
  Yan,60.23,12.89,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,83.69,24.73,-58.96,-61.70 to -56.22
  Yan,0.0000,25.77,25.77,8.268 to 43.26
,,,,
Model,Difference,t,P value,Summary
  TB,-58.96,80.56,P<0.001,***
  Yan,25.77,5.516,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,83.69,33.74,-49.95,-52.69 to -47.21
  Yan,0.0000,33.79,33.79,16.29 to 51.29
,,,,
Model,Difference,t,P value,Summary
  TB,-49.95,68.25,P<0.001,***
  Yan,33.79,7.233,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,83.69,41.75,-41.93,-44.68 to -39.19
  Yan,0.0000,41.80,41.80,24.31 to 59.30
,,,,
Model,Difference,t,P value,Summary
  TB,-41.93,57.30,P<0.001,***
  Yan,41.80,8.949,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,83.69,50.23,-33.45,-36.19 to -30.71
  Yan,0.0000,55.12,55.12,37.63 to 72.62
,,,,
Model,Difference,t,P value,Summary
  TB,-33.45,45.71,P<0.001,***
  Yan,55.12,11.80,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,83.69,62.67,-21.02,-23.76 to -18.28
  Yan,0.0000,67.79,67.79,50.29 to 85.29
,,,,
Model,Difference,t,P value,Summary
  TB,-21.02,28.72,P<0.001,***
  Yan,67.79,14.51,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  TB,34.01,43.22,9.210,6.477 to 11.94
  Yan,38.12,49.31,11.19,8.453 to 13.92
,,,,
Model,Difference,t,P value,Summary
  TB,9.210,12.62,P<0.001,***
  Yan,11.19,15.33,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,34.01,52.84,18.83,16.09 to 21.56
  Yan,38.12,60.42,22.30,19.56 to 25.03
,,,,
Model,Difference,t,P value,Summary
  TB,18.83,25.81,P<0.001,***
  Yan,22.30,30.56,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,34.01,61.54,27.53,24.80 to 30.26
  Yan,38.12,71.41,33.28,30.55 to 36.02
,,,,
Model,Difference,t,P value,Summary
  TB,27.53,37.74,P<0.001,***
  Yan,33.28,45.62,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,34.01,70.52,36.51,33.77 to 39.24
  Yan,38.12,81.27,43.15,40.42 to 45.88
,,,,
Model,Difference,t,P value,Summary
  TB,36.51,50.04,P<0.001,***
  Yan,43.15,59.14,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,34.01,28.83,-5.185,-7.918 to -2.453
  Yan,38.12,28.90,-9.222,-11.95 to -6.490
,,,,
Model,Difference,t,P value,Summary
  TB,-5.185,7.107,P<0.001,***
  Yan,-9.222,12.64,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,34.01,36.84,2.827,0.09457 to 5.560
  Yan,38.12,37.95,-0.1728,-2.905 to 2.560
,,,,
Model,Difference,t,P value,Summary
  TB,2.827,3.875,P<0.001,***
  Yan,-0.1728,0.2369,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,34.01,49.81,15.80,13.07 to 18.54
  Yan,38.12,46.99,8.864,6.132 to 11.60
,,,,
Model,Difference,t,P value,Summary
  TB,15.80,21.66,P<0.001,***
  Yan,8.864,12.15,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,34.01,57.93,23.91,21.18 to 26.65
  Yan,38.12,53.85,15.73,13.00 to 18.46
,,,,
Model,Difference,t,P value,Summary
  TB,23.91,32.78,P<0.001,***
  Yan,15.73,21.56,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,34.01,32.20,-1.814,-4.183 to 0.5554
  Yan,38.12,60.23,22.11,19.38 to 24.84
,,,,
Model,Difference,t,P value,Summary
  TB,-1.814,2.867,P<0.01,**
  Yan,22.11,30.31,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,34.01,24.73,-9.284,-12.02 to -6.551
  Yan,38.12,25.77,-12.36,-15.09 to -9.625
,,,,
Model,Difference,t,P value,Summary
  TB,-9.284,12.73,P<0.001,***
  Yan,-12.36,16.94,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,34.01,33.74,-0.2716,-3.004 to 2.461
  Yan,38.12,33.79,-4.333,-7.066 to -1.601
,,,,
Model,Difference,t,P value,Summary
  TB,-0.2716,0.3723,P > 0.05,ns
  Yan,-4.333,5.940,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,34.01,41.75,7.741,5.008 to 10.47
  Yan,38.12,41.80,3.679,0.9464 to 6.412
,,,,
Model,Difference,t,P value,Summary
  TB,7.741,10.61,P<0.001,***
  Yan,3.679,5.043,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,34.01,50.23,16.22,13.49 to 18.95
  Yan,38.12,55.12,17.00,14.27 to 19.73
,,,,
Model,Difference,t,P value,Summary
  TB,16.22,22.24,P<0.001,***
  Yan,17.00,23.30,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,34.01,62.67,28.65,25.92 to 31.39
  Yan,38.12,67.79,29.67,26.93 to 32.40
,,,,
Model,Difference,t,P value,Summary
  TB,28.65,39.28,P<0.001,***
  Yan,29.67,40.66,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,43.22,52.84,9.617,6.885 to 12.35
  Yan,49.31,60.42,11.11,8.379 to 13.84
,,,,
Model,Difference,t,P value,Summary
  TB,9.617,13.18,P<0.001,***
  Yan,11.11,15.23,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,43.22,61.54,18.32,15.59 to 21.05
  Yan,49.31,71.41,22.10,19.37 to 24.83
,,,,
Model,Difference,t,P value,Summary
  TB,18.32,25.11,P<0.001,***
  Yan,22.10,30.29,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,43.22,70.52,27.30,24.56 to 30.03
  Yan,49.31,81.27,31.96,29.23 to 34.70
,,,,
Model,Difference,t,P value,Summary
  TB,27.30,37.41,P<0.001,***
  Yan,31.96,43.81,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,43.22,28.83,-14.40,-17.13 to -11.66
  Yan,49.31,28.90,-20.41,-23.14 to -17.67
,,,,
Model,Difference,t,P value,Summary
  TB,-14.40,19.73,P<0.001,***
  Yan,-20.41,27.97,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,43.22,36.84,-6.383,-9.115 to -3.650
  Yan,49.31,37.95,-11.36,-14.09 to -8.625
,,,,
Model,Difference,t,P value,Summary
  TB,-6.383,8.749,P<0.001,***
  Yan,-11.36,15.57,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,43.22,49.81,6.593,3.860 to 9.325
  Yan,49.31,46.99,-2.321,-5.054 to 0.4116
,,,,
Model,Difference,t,P value,Summary
  TB,6.593,9.036,P<0.001,***
  Yan,-2.321,3.181,P<0.01,**
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,43.22,57.93,14.70,11.97 to 17.44
  Yan,49.31,53.85,4.543,1.811 to 7.276
,,,,
Model,Difference,t,P value,Summary
  TB,14.70,20.15,P<0.001,***
  Yan,4.543,6.227,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,43.22,32.20,-11.02,-13.39 to -8.655
  Yan,49.31,60.23,10.93,8.193 to 13.66
,,,,
Model,Difference,t,P value,Summary
  TB,-11.02,17.43,P<0.001,***
  Yan,10.93,14.98,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,43.22,24.73,-18.49,-21.23 to -15.76
  Yan,49.31,25.77,-23.54,-26.28 to -20.81
,,,,
Model,Difference,t,P value,Summary
  TB,-18.49,25.35,P<0.001,***
  Yan,-23.54,32.27,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,43.22,33.74,-9.481,-12.21 to -6.749
  Yan,49.31,33.79,-15.52,-18.25 to -12.79
,,,,
Model,Difference,t,P value,Summary
  TB,-9.481,13.00,P<0.001,***
  Yan,-15.52,21.27,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,43.22,41.75,-1.469,-4.202 to 1.263
  Yan,49.31,41.80,-7.506,-10.24 to -4.774
,,,,
Model,Difference,t,P value,Summary
  TB,-1.469,2.014,P > 0.05,ns
  Yan,-7.506,10.29,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,43.22,50.23,7.012,4.280 to 9.745
  Yan,49.31,55.12,5.815,3.082 to 8.547
,,,,
Model,Difference,t,P value,Summary
  TB,7.012,9.612,P<0.001,***
  Yan,5.815,7.970,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,43.22,62.67,19.44,16.71 to 22.18
  Yan,49.31,67.79,18.48,15.75 to 21.21
,,,,
Model,Difference,t,P value,Summary
  TB,19.44,26.65,P<0.001,***
  Yan,18.48,25.33,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,52.84,61.54,8.704,5.971 to 11.44
  Yan,60.42,71.41,10.99,8.255 to 13.72
,,,,
Model,Difference,t,P value,Summary
  TB,8.704,11.93,P<0.001,***
  Yan,10.99,15.06,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,52.84,70.52,17.68,14.95 to 20.41
  Yan,60.42,81.27,20.85,18.12 to 23.58
,,,,
Model,Difference,t,P value,Summary
  TB,17.68,24.23,P<0.001,***
  Yan,20.85,28.58,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,52.84,28.83,-24.01,-26.74 to -21.28
  Yan,60.42,28.90,-31.52,-34.25 to -28.79
,,,,
Model,Difference,t,P value,Summary
  TB,-24.01,32.91,P<0.001,***
  Yan,-31.52,43.20,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,52.84,36.84,-16.00,-18.73 to -13.27
  Yan,60.42,37.95,-22.47,-25.20 to -19.74
,,,,
Model,Difference,t,P value,Summary
  TB,-16.00,21.93,P<0.001,***
  Yan,-22.47,30.80,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,52.84,49.81,-3.025,-5.757 to -0.2921
  Yan,60.42,46.99,-13.43,-16.16 to -10.70
,,,,
Model,Difference,t,P value,Summary
  TB,-3.025,4.146,P<0.001,***
  Yan,-13.43,18.41,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,52.84,57.93,5.086,2.354 to 7.819
  Yan,60.42,53.85,-6.568,-9.301 to -3.835
,,,,
Model,Difference,t,P value,Summary
  TB,5.086,6.972,P<0.001,***
