Parameter,,,,
Table Analyzed,Intraburst Freq,,,
  TB,25.43,74.66,49.23,46.01 to 52.44
  Yan,0.0000,74.54,74.54,54.01 to 95.07
,,,,
Model,Difference,t,P value,Summary
  TB,49.23,57.34,P<0.001,***
  Yan,74.54,13.60,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,25.43,78.03,52.60,49.38 to 55.81
  Yan,0.0000,58.91,58.91,38.38 to 79.43
,,,,
Model,Difference,t,P value,Summary
  TB,52.60,61.26,P<0.001,***
  Yan,58.91,10.75,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,25.43,58.91,33.48,30.26 to 36.70
  Yan,0.0000,37.26,37.26,16.74 to 57.79
,,,,
Model,Difference,t,P value,Summary
  TB,33.48,39.00,P<0.001,***
  Yan,37.26,6.799,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,25.43,42.76,17.33,14.12 to 20.55
  Yan,0.0000,30.44,30.44,9.916 to 50.97
,,,,
Model,Difference,t,P value,Summary
  TB,17.33,20.19,P<0.001,***
  Yan,30.44,5.555,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,25.43,55.65,30.22,27.43 to 33.01
  Yan,0.0000,28.91,28.91,8.382 to 49.44
,,,,
Model,Difference,t,P value,Summary
  TB,30.22,40.56,P<0.001,***
  Yan,28.91,5.275,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,25.43,76.47,51.04,47.82 to 54.25
  Yan,0.0000,74.72,74.72,54.19 to 95.25
,,,,
Model,Difference,t,P value,Summary
  TB,51.04,59.45,P<0.001,***
  Yan,74.72,13.63,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,25.43,90.60,65.17,61.95 to 68.38
  Yan,0.0000,85.15,85.15,64.62 to 105.7
,,,,
Model,Difference,t,P value,Summary
  TB,65.17,75.91,P<0.001,***
  Yan,85.15,15.54,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,25.43,97.89,72.45,69.24 to 75.67
  Yan,0.0000,91.92,91.92,71.39 to 112.4
,,,,
Model,Difference,t,P value,Summary
  TB,72.45,84.39,P<0.001,***
  Yan,91.92,16.77,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,25.43,99.97,74.54,71.33 to 77.76
  Yan,0.0000,83.34,83.34,62.82 to 103.9
,,,,
Model,Difference,t,P value,Summary
  TB,74.54,86.82,P<0.001,***
  Yan,83.34,15.21,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,25.43,100.9,75.47,72.26 to 78.69
  Yan,0.0000,70.30,70.30,49.77 to 90.83
,,,,
Model,Difference,t,P value,Summary
  TB,75.47,87.91,P<0.001,***
  Yan,70.30,12.83,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  TB,26.59,57.08,30.49,27.27 to 33.70
  Yan,0.0000,37.74,37.74,17.22 to 58.27
,,,,
Model,Difference,t,P value,Summary
  TB,30.49,35.51,P<0.001,***
  Yan,37.74,6.887,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  TB,26.59,31.51,4.920,1.704 to 8.136
  Yan,0.0000,26.72,26.72,6.188 to 47.24
,,,,
Model,Difference,t,P value,Summary
  TB,4.920,5.730,P<0.001,***
  Yan,26.72,4.875,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,26.59,26.90,0.3061,-2.910 to 3.522
  Yan,0.0000,26.01,26.01,5.486 to 46.54
,,,,
Model,Difference,t,P value,Summary
  TB,0.3061,0.3566,P > 0.05,ns
  Yan,26.01,4.747,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,26.59,26.75,0.1555,-3.060 to 3.371
  Yan,0.0000,26.90,26.90,6.374 to 47.43
,,,,
Model,Difference,t,P value,Summary
  TB,0.1555,0.1811,P > 0.05,ns
  Yan,26.90,4.909,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,26.59,27.66,1.071,-2.145 to 4.287
  Yan,0.0000,28.35,28.35,7.824 to 48.88
,,,,
Model,Difference,t,P value,Summary
  TB,1.071,1.247,P > 0.05,ns
  Yan,28.35,5.173,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,26.59,74.66,48.07,44.85 to 51.28
  Yan,0.0000,74.54,74.54,54.01 to 95.07
,,,,
Model,Difference,t,P value,Summary
  TB,48.07,55.99,P<0.001,***
  Yan,74.54,13.60,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,26.59,78.03,51.44,48.22 to 54.65
  Yan,0.0000,58.91,58.91,38.38 to 79.43
,,,,
Model,Difference,t,P value,Summary
  TB,51.44,59.91,P<0.001,***
  Yan,58.91,10.75,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,26.59,58.91,32.32,29.11 to 35.54
  Yan,0.0000,37.26,37.26,16.74 to 57.79
,,,,
Model,Difference,t,P value,Summary
  TB,32.32,37.65,P<0.001,***
  Yan,37.26,6.799,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,26.59,42.76,16.17,12.96 to 19.39
  Yan,0.0000,30.44,30.44,9.916 to 50.97
,,,,
Model,Difference,t,P value,Summary
  TB,16.17,18.84,P<0.001,***
  Yan,30.44,5.555,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,26.59,55.65,29.06,26.27 to 31.85
  Yan,0.0000,28.91,28.91,8.382 to 49.44
,,,,
Model,Difference,t,P value,Summary
  TB,29.06,39.00,P<0.001,***
  Yan,28.91,5.275,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,26.59,76.47,49.88,46.66 to 53.10
  Yan,0.0000,74.72,74.72,54.19 to 95.25
,,,,
Model,Difference,t,P value,Summary
  TB,49.88,58.10,P<0.001,***
  Yan,74.72,13.63,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,26.59,90.60,64.01,60.79 to 67.23
  Yan,0.0000,85.15,85.15,64.62 to 105.7
,,,,
Model,Difference,t,P value,Summary
  TB,64.01,74.56,P<0.001,***
  Yan,85.15,15.54,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,26.59,97.89,71.30,68.08 to 74.51
  Yan,0.0000,91.92,91.92,71.39 to 112.4
,,,,
Model,Difference,t,P value,Summary
  TB,71.30,83.04,P<0.001,***
  Yan,91.92,16.77,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,26.59,99.97,73.38,70.17 to 76.60
  Yan,0.0000,83.34,83.34,62.82 to 103.9
,,,,
Model,Difference,t,P value,Summary
  TB,73.38,85.47,P<0.001,***
  Yan,83.34,15.21,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,26.59,100.9,74.31,71.10 to 77.53
  Yan,0.0000,70.30,70.30,49.77 to 90.83
,,,,
Model,Difference,t,P value,Summary
  TB,74.31,86.56,P<0.001,***
  Yan,70.30,12.83,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  TB,57.08,31.51,-25.57,-28.77 to -22.36
  Yan,37.74,26.72,-11.03,-14.23 to -7.823
,,,,
Model,Difference,t,P value,Summary
  TB,-25.57,29.87,P<0.001,***
  Yan,-11.03,12.89,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,57.08,26.90,-30.18,-33.39 to -26.97
  Yan,37.74,26.01,-11.73,-14.94 to -8.525
,,,,
Model,Difference,t,P value,Summary
  TB,-30.18,35.26,P<0.001,***
  Yan,-11.73,13.71,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,57.08,26.75,-30.33,-33.54 to -27.12
  Yan,37.74,26.90,-10.84,-14.05 to -7.637
,,,,
Model,Difference,t,P value,Summary
  TB,-30.33,35.44,P<0.001,***
  Yan,-10.84,12.67,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,57.08,27.66,-29.42,-32.62 to -26.21
  Yan,37.74,28.35,-9.392,-12.60 to -6.187
,,,,
Model,Difference,t,P value,Summary
  TB,-29.42,34.37,P<0.001,***
  Yan,-9.392,10.97,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,57.08,74.66,17.58,14.38 to 20.79
  Yan,37.74,74.54,36.80,33.59 to 40.00
,,,,
Model,Difference,t,P value,Summary
  TB,17.58,20.54,P<0.001,***
  Yan,36.80,42.99,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,57.08,78.03,20.95,17.75 to 24.16
  Yan,37.74,58.91,21.16,17.96 to 24.37
,,,,
Model,Difference,t,P value,Summary
  TB,20.95,24.48,P<0.001,***
  Yan,21.16,24.73,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,57.08,58.91,1.836,-1.370 to 5.041
  Yan,37.74,37.26,-0.4813,-3.687 to 2.724
,,,,
Model,Difference,t,P value,Summary
  TB,1.836,2.145,P > 0.05,ns
  Yan,-0.4813,0.5623,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,57.08,42.76,-14.31,-17.52 to -11.11
  Yan,37.74,30.44,-7.301,-10.51 to -4.095
,,,,
Model,Difference,t,P value,Summary
  TB,-14.31,16.72,P<0.001,***
  Yan,-7.301,8.530,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,57.08,55.65,-1.428,-4.207 to 1.351
  Yan,37.74,28.91,-8.835,-12.04 to -5.629
,,,,
Model,Difference,t,P value,Summary
  TB,-1.428,1.924,P > 0.05,ns
  Yan,-8.835,10.32,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,57.08,76.47,19.39,16.19 to 22.60
  Yan,37.74,74.72,36.98,33.77 to 40.18
,,,,
Model,Difference,t,P value,Summary
  TB,19.39,22.66,P<0.001,***
  Yan,36.98,43.20,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,57.08,90.60,33.52,30.32 to 36.73
  Yan,37.74,85.15,47.40,44.20 to 50.61
,,,,
Model,Difference,t,P value,Summary
  TB,33.52,39.17,P<0.001,***
  Yan,47.40,55.38,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,57.08,97.89,40.81,37.60 to 44.02
  Yan,37.74,91.92,54.17,50.97 to 57.38
,,,,
Model,Difference,t,P value,Summary
  TB,40.81,47.68,P<0.001,***
  Yan,54.17,63.30,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,57.08,99.97,42.90,39.69 to 46.10
  Yan,37.74,83.34,45.60,42.39 to 48.81
,,,,
Model,Difference,t,P value,Summary
  TB,42.90,50.12,P<0.001,***
  Yan,45.60,53.28,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,57.08,100.9,43.83,40.62 to 47.03
  Yan,37.74,70.30,32.56,29.35 to 35.76
,,,,
Model,Difference,t,P value,Summary
  TB,43.83,51.21,P<0.001,***
  Yan,32.56,38.04,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,31.51,26.90,-4.614,-7.819 to -1.408
  Yan,26.72,26.01,-0.7026,-3.908 to 2.503
,,,,
Model,Difference,t,P value,Summary
  TB,-4.614,5.391,P<0.001,***
  Yan,-0.7026,0.8209,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,31.51,26.75,-4.764,-7.970 to -1.559
  Yan,26.72,26.90,0.1858,-3.020 to 3.392
,,,,
Model,Difference,t,P value,Summary
  TB,-4.764,5.567,P<0.001,***
  Yan,0.1858,0.2171,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,31.51,27.66,-3.849,-7.055 to -0.6433
  Yan,26.72,28.35,1.636,-1.570 to 4.842
,,,,
Model,Difference,t,P value,Summary
  TB,-3.849,4.497,P<0.001,***
  Yan,1.636,1.911,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,31.51,74.66,43.15,39.94 to 46.35
  Yan,26.72,74.54,47.82,44.62 to 51.03
,,,,
Model,Difference,t,P value,Summary
  TB,43.15,50.41,P<0.001,***
  Yan,47.82,55.88,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,31.51,78.03,46.52,43.31 to 49.72
  Yan,26.72,58.91,32.19,28.99 to 35.40
,,,,
Model,Difference,t,P value,Summary
  TB,46.52,54.35,P<0.001,***
  Yan,32.19,37.61,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,31.51,58.91,27.40,24.20 to 30.61
  Yan,26.72,37.26,10.55,7.341 to 13.75
,,,,
Model,Difference,t,P value,Summary
  TB,27.40,32.02,P<0.001,***
  Yan,10.55,12.32,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,31.51,42.76,11.25,8.047 to 14.46
  Yan,26.72,30.44,3.728,0.5219 to 6.933
,,,,
Model,Difference,t,P value,Summary
  TB,11.25,13.15,P<0.001,***
  Yan,3.728,4.355,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,31.51,55.65,24.14,21.36 to 26.92
  Yan,26.72,28.91,2.193,-1.012 to 5.399
,,,,
Model,Difference,t,P value,Summary
  TB,24.14,32.53,P<0.001,***
  Yan,2.193,2.563,P < 0.05,*
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,31.51,76.47,44.96,41.75 to 48.17
  Yan,26.72,74.72,48.01,44.80 to 51.21
,,,,
Model,Difference,t,P value,Summary
  TB,44.96,52.53,P<0.001,***
  Yan,48.01,56.09,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,31.51,90.60,59.09,55.89 to 62.30
  Yan,26.72,85.15,58.43,55.22 to 61.64
,,,,
Model,Difference,t,P value,Summary
  TB,59.09,69.04,P<0.001,***
  Yan,58.43,68.27,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,31.51,97.89,66.38,63.17 to 69.58
  Yan,26.72,91.92,65.20,62.00 to 68.41
,,,,
Model,Difference,t,P value,Summary
  TB,66.38,77.55,P<0.001,***
  Yan,65.20,76.18,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,31.51,99.97,68.46,65.26 to 71.67
  Yan,26.72,83.34,56.63,53.42 to 59.83
,,,,
Model,Difference,t,P value,Summary
  TB,68.46,79.99,P<0.001,***
  Yan,56.63,66.16,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,31.51,100.9,69.39,66.19 to 72.60
  Yan,26.72,70.30,43.58,40.38 to 46.79
,,,,
Model,Difference,t,P value,Summary
  TB,69.39,81.08,P<0.001,***
  Yan,43.58,50.92,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,26.90,26.75,-0.1506,-3.356 to 3.055
  Yan,26.01,26.90,0.8884,-2.317 to 4.094
,,,,
Model,Difference,t,P value,Summary
  TB,-0.1506,0.1760,P > 0.05,ns
  Yan,0.8884,1.038,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,26.90,27.66,0.7646,-2.441 to 3.970
  Yan,26.01,28.35,2.339,-0.8671 to 5.544
,,,,
Model,Difference,t,P value,Summary
  TB,0.7646,0.8934,P > 0.05,ns
  Yan,2.339,2.732,P < 0.05,*
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,26.90,74.66,47.76,44.56 to 50.97
  Yan,26.01,74.54,48.53,45.32 to 51.73
,,,,
Model,Difference,t,P value,Summary
  TB,47.76,55.80,P<0.001,***
  Yan,48.53,56.70,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,26.90,78.03,51.13,47.93 to 54.34
  Yan,26.01,58.91,32.89,29.69 to 36.10
,,,,
Model,Difference,t,P value,Summary
  TB,51.13,59.74,P<0.001,***
  Yan,32.89,38.43,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,26.90,58.91,32.02,28.81 to 35.22
  Yan,26.01,37.26,11.25,8.044 to 14.46
,,,,
Model,Difference,t,P value,Summary
  TB,32.02,37.41,P<0.001,***
  Yan,11.25,13.14,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,26.90,42.76,15.87,12.66 to 19.07
  Yan,26.01,30.44,4.430,1.225 to 7.636
,,,,
Model,Difference,t,P value,Summary
  TB,15.87,18.54,P<0.001,***
  Yan,4.430,5.176,P<0.001,***
,,,,
