Parameter,,,,
Table Analyzed,Total Cycle Time,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.764,3.729,-0.03562,-0.1338 to 0.06254
  Yan,0.0000,3.729,3.729,3.106 to 4.351
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03562,1.359,P > 0.05,ns
  Yan,3.729,22.43,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.764,3.728,-0.03664,-0.1348 to 0.06152
  Yan,0.0000,3.726,3.726,3.103 to 4.348
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03664,1.398,P > 0.05,ns
  Yan,3.726,22.41,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.764,3.724,-0.04071,-0.1389 to 0.05745
  Yan,0.0000,3.720,3.720,3.097 to 4.342
,,,,
Model,Difference,t,P value,Summary
  TB,-0.04071,1.553,P > 0.05,ns
  Yan,3.720,22.37,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.764,3.723,-0.04102,-0.1392 to 0.05714
  Yan,0.0000,3.720,3.720,3.097 to 4.343
,,,,
Model,Difference,t,P value,Summary
  TB,-0.04102,1.565,P > 0.05,ns
  Yan,3.720,22.38,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.764,1.870,-1.894,-1.979 to -1.809
  Yan,0.0000,3.721,3.721,3.098 to 4.344
,,,,
Model,Difference,t,P value,Summary
  TB,-1.894,83.37,P<0.001,***
  Yan,3.721,22.38,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.764,3.729,-0.03571,-0.1339 to 0.06245
  Yan,0.0000,3.729,3.729,3.106 to 4.351
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03571,1.362,P > 0.05,ns
  Yan,3.729,22.43,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.764,3.729,-0.03562,-0.1338 to 0.06253
  Yan,0.0000,3.729,3.729,3.106 to 4.351
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03562,1.359,P > 0.05,ns
  Yan,3.729,22.43,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.764,3.729,-0.03567,-0.1338 to 0.06249
  Yan,0.0000,3.728,3.728,3.105 to 4.351
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03567,1.361,P > 0.05,ns
  Yan,3.728,22.42,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.764,3.728,-0.03607,-0.1342 to 0.06209
  Yan,0.0000,3.725,3.725,3.103 to 4.348
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03607,1.376,P > 0.05,ns
  Yan,3.725,22.41,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.764,3.727,-0.03771,-0.1359 to 0.06045
  Yan,0.0000,3.721,3.721,3.099 to 4.344
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03771,1.439,P > 0.05,ns
  Yan,3.721,22.38,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.759,3.730,-0.02894,-0.1271 to 0.06922
  Yan,0.0000,3.728,3.728,3.105 to 4.350
,,,,
Model,Difference,t,P value,Summary
  TB,-0.02894,1.104,P > 0.05,ns
  Yan,3.728,22.42,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.759,3.731,-0.02776,-0.1259 to 0.07040
  Yan,0.0000,3.725,3.725,3.102 to 4.348
,,,,
Model,Difference,t,P value,Summary
  TB,-0.02776,1.059,P > 0.05,ns
  Yan,3.725,22.41,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.759,3.724,-0.03441,-0.1326 to 0.06375
  Yan,0.0000,3.719,3.719,3.097 to 4.342
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03441,1.313,P > 0.05,ns
  Yan,3.719,22.37,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.759,3.720,-0.03898,-0.1371 to 0.05918
  Yan,0.0000,3.716,3.716,3.093 to 4.338
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03898,1.487,P > 0.05,ns
  Yan,3.716,22.35,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.759,3.717,-0.04203,-0.1402 to 0.05613
  Yan,0.0000,3.713,3.713,3.090 to 4.336
,,,,
Model,Difference,t,P value,Summary
  TB,-0.04203,1.604,P > 0.05,ns
  Yan,3.713,22.33,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.759,3.729,-0.02985,-0.1280 to 0.06831
  Yan,0.0000,3.729,3.729,3.106 to 4.351
,,,,
Model,Difference,t,P value,Summary
  TB,-0.02985,1.139,P > 0.05,ns
  Yan,3.729,22.43,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.759,3.728,-0.03086,-0.1290 to 0.06730
  Yan,0.0000,3.726,3.726,3.103 to 4.348
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03086,1.178,P > 0.05,ns
  Yan,3.726,22.41,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.759,3.724,-0.03494,-0.1331 to 0.06322
  Yan,0.0000,3.720,3.720,3.097 to 4.342
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03494,1.333,P > 0.05,ns
  Yan,3.720,22.37,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.759,3.723,-0.03525,-0.1334 to 0.06291
  Yan,0.0000,3.720,3.720,3.097 to 4.343
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03525,1.345,P > 0.05,ns
  Yan,3.720,22.38,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.759,1.870,-1.888,-1.974 to -1.803
  Yan,0.0000,3.721,3.721,3.098 to 4.344
,,,,
Model,Difference,t,P value,Summary
  TB,-1.888,83.12,P<0.001,***
  Yan,3.721,22.38,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.759,3.729,-0.02993,-0.1281 to 0.06823
  Yan,0.0000,3.729,3.729,3.106 to 4.351
,,,,
Model,Difference,t,P value,Summary
  TB,-0.02993,1.142,P > 0.05,ns
  Yan,3.729,22.43,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.759,3.729,-0.02985,-0.1280 to 0.06831
  Yan,0.0000,3.729,3.729,3.106 to 4.351
,,,,
Model,Difference,t,P value,Summary
  TB,-0.02985,1.139,P > 0.05,ns
  Yan,3.729,22.43,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.759,3.729,-0.02990,-0.1281 to 0.06826
  Yan,0.0000,3.728,3.728,3.105 to 4.351
,,,,
Model,Difference,t,P value,Summary
  TB,-0.02990,1.141,P > 0.05,ns
  Yan,3.728,22.42,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.759,3.728,-0.03030,-0.1285 to 0.06786
  Yan,0.0000,3.725,3.725,3.103 to 4.348
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03030,1.156,P > 0.05,ns
  Yan,3.725,22.41,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.759,3.727,-0.03194,-0.1301 to 0.06622
  Yan,0.0000,3.721,3.721,3.099 to 4.344
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03194,1.219,P > 0.05,ns
  Yan,3.721,22.38,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.730,3.731,0.001186,-0.09666 to 0.09904
  Yan,3.728,3.725,-0.002661,-0.1005 to 0.09519
,,,,
Model,Difference,t,P value,Summary
  TB,0.001186,0.04540,P > 0.05,ns
  Yan,-0.002661,0.1019,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.730,3.724,-0.005466,-0.1033 to 0.09238
  Yan,3.728,3.719,-0.008344,-0.1062 to 0.08951
,,,,
Model,Difference,t,P value,Summary
  TB,-0.005466,0.2092,P > 0.05,ns
  Yan,-0.008344,0.3194,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.730,3.720,-0.01004,-0.1079 to 0.08782
  Yan,3.728,3.716,-0.01199,-0.1098 to 0.08586
,,,,
Model,Difference,t,P value,Summary
  TB,-0.01004,0.3841,P > 0.05,ns
  Yan,-0.01199,0.4589,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.730,3.717,-0.01309,-0.1109 to 0.08476
  Yan,3.728,3.713,-0.01450,-0.1123 to 0.08335
,,,,
Model,Difference,t,P value,Summary
  TB,-0.01309,0.5010,P > 0.05,ns
  Yan,-0.01450,0.5550,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.730,3.729,-0.0009041,-0.09875 to 0.09695
  Yan,3.728,3.729,0.0008860,-0.09696 to 0.09874
,,,,
Model,Difference,t,P value,Summary
  TB,-0.0009041,0.03461,P > 0.05,ns
  Yan,0.0008860,0.03391,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.730,3.728,-0.001922,-0.09977 to 0.09593
  Yan,3.728,3.726,-0.002099,-0.09995 to 0.09575
,,,,
Model,Difference,t,P value,Summary
  TB,-0.001922,0.07358,P > 0.05,ns
  Yan,-0.002099,0.08035,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.730,3.724,-0.005997,-0.1038 to 0.09185
  Yan,3.728,3.720,-0.008185,-0.1060 to 0.08967
,,,,
Model,Difference,t,P value,Summary
  TB,-0.005997,0.2296,P > 0.05,ns
  Yan,-0.008185,0.3133,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.730,3.723,-0.006304,-0.1042 to 0.09155
  Yan,3.728,3.720,-0.007839,-0.1057 to 0.09001
,,,,
Model,Difference,t,P value,Summary
  TB,-0.006304,0.2413,P > 0.05,ns
  Yan,-0.007839,0.3001,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.730,1.870,-1.859,-1.944 to -1.775
  Yan,3.728,3.721,-0.006755,-0.1046 to 0.09110
,,,,
Model,Difference,t,P value,Summary
  TB,-1.859,82.19,P<0.001,***
  Yan,-0.006755,0.2586,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.730,3.729,-0.0009911,-0.09884 to 0.09686
  Yan,3.728,3.729,0.0009749,-0.09688 to 0.09883
,,,,
Model,Difference,t,P value,Summary
  TB,-0.0009911,0.03794,P > 0.05,ns
  Yan,0.0009749,0.03732,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.730,3.729,-0.0009110,-0.09876 to 0.09694
  Yan,3.728,3.729,0.0009708,-0.09688 to 0.09882
,,,,
Model,Difference,t,P value,Summary
  TB,-0.0009110,0.03487,P > 0.05,ns
  Yan,0.0009708,0.03716,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.730,3.729,-0.0009551,-0.09881 to 0.09690
  Yan,3.728,3.728,0.0003500,-0.09750 to 0.09820
,,,,
Model,Difference,t,P value,Summary
  TB,-0.0009551,0.03656,P > 0.05,ns
  Yan,0.0003500,0.01340,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.730,3.728,-0.001356,-0.09921 to 0.09649
  Yan,3.728,3.725,-0.002250,-0.1001 to 0.09560
,,,,
Model,Difference,t,P value,Summary
  TB,-0.001356,0.05191,P > 0.05,ns
  Yan,-0.002250,0.08613,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.730,3.727,-0.002994,-0.1008 to 0.09486
  Yan,3.728,3.721,-0.006394,-0.1042 to 0.09146
,,,,
Model,Difference,t,P value,Summary
  TB,-0.002994,0.1146,P > 0.05,ns
  Yan,-0.006394,0.2448,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.731,3.724,-0.006652,-0.1045 to 0.09120
  Yan,3.725,3.719,-0.005683,-0.1035 to 0.09217
,,,,
Model,Difference,t,P value,Summary
  TB,-0.006652,0.2546,P > 0.05,ns
  Yan,-0.005683,0.2175,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.731,3.720,-0.01122,-0.1091 to 0.08663
  Yan,3.725,3.716,-0.009327,-0.1072 to 0.08852
,,,,
Model,Difference,t,P value,Summary
  TB,-0.01122,0.4295,P > 0.05,ns
  Yan,-0.009327,0.3570,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.731,3.717,-0.01427,-0.1121 to 0.08358
  Yan,3.725,3.713,-0.01184,-0.1097 to 0.08601
,,,,
Model,Difference,t,P value,Summary
  TB,-0.01427,0.5464,P > 0.05,ns
  Yan,-0.01184,0.4531,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.731,3.729,-0.002090,-0.09994 to 0.09576
  Yan,3.725,3.729,0.003547,-0.09430 to 0.1014
,,,,
Model,Difference,t,P value,Summary
  TB,-0.002090,0.08000,P > 0.05,ns
  Yan,0.003547,0.1358,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.731,3.728,-0.003108,-0.1010 to 0.09474
  Yan,3.725,3.726,0.0005620,-0.09729 to 0.09841
,,,,
Model,Difference,t,P value,Summary
  TB,-0.003108,0.1190,P > 0.05,ns
  Yan,0.0005620,0.02151,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.731,3.724,-0.007183,-0.1050 to 0.09067
  Yan,3.725,3.720,-0.005524,-0.1034 to 0.09233
,,,,
Model,Difference,t,P value,Summary
  TB,-0.007183,0.2750,P > 0.05,ns
  Yan,-0.005524,0.2115,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.731,3.723,-0.007490,-0.1053 to 0.09036
  Yan,3.725,3.720,-0.005178,-0.1030 to 0.09267
,,,,
Model,Difference,t,P value,Summary
  TB,-0.007490,0.2867,P > 0.05,ns
  Yan,-0.005178,0.1982,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.731,1.870,-1.861,-1.945 to -1.776
  Yan,3.725,3.721,-0.004094,-0.1019 to 0.09376
,,,,
Model,Difference,t,P value,Summary
  TB,-1.861,82.24,P<0.001,***
  Yan,-0.004094,0.1567,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.731,3.729,-0.002177,-0.1000 to 0.09567
  Yan,3.725,3.729,0.003636,-0.09421 to 0.1015
,,,,
Model,Difference,t,P value,Summary
  TB,-0.002177,0.08333,P > 0.05,ns
  Yan,0.003636,0.1392,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.731,3.729,-0.002097,-0.09995 to 0.09575
  Yan,3.725,3.729,0.003632,-0.09422 to 0.1015
,,,,
Model,Difference,t,P value,Summary
  TB,-0.002097,0.08027,P > 0.05,ns
  Yan,0.003632,0.1390,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.731,3.729,-0.002141,-0.09999 to 0.09571
  Yan,3.725,3.728,0.003011,-0.09484 to 0.1009
,,,,
Model,Difference,t,P value,Summary
  TB,-0.002141,0.08196,P > 0.05,ns
  Yan,0.003011,0.1153,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.731,3.728,-0.002542,-0.1004 to 0.09531
  Yan,3.725,3.725,0.0004110,-0.09744 to 0.09826
,,,,
Model,Difference,t,P value,Summary
  TB,-0.002542,0.09731,P > 0.05,ns
  Yan,0.0004110,0.01573,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.731,3.727,-0.004180,-0.1020 to 0.09367
  Yan,3.725,3.721,-0.003733,-0.1016 to 0.09412
,,,,
Model,Difference,t,P value,Summary
  TB,-0.004180,0.1600,P > 0.05,ns
  Yan,-0.003733,0.1429,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.724,3.720,-0.004569,-0.1024 to 0.09328
  Yan,3.719,3.716,-0.003644,-0.1015 to 0.09421
,,,,
Model,Difference,t,P value,Summary
  TB,-0.004569,0.1749,P > 0.05,ns
  Yan,-0.003644,0.1395,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.724,3.717,-0.007622,-0.1055 to 0.09023
  Yan,3.719,3.713,-0.006155,-0.1040 to 0.09170
,,,,
Model,Difference,t,P value,Summary
  TB,-0.007622,0.2918,P > 0.05,ns
  Yan,-0.006155,0.2356,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.724,3.729,0.004562,-0.09329 to 0.1024
  Yan,3.719,3.729,0.009230,-0.08862 to 0.1071
,,,,
