Parameter,,,,
Table Analyzed,Peaks Interval,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.03609,0.06129,0.02520,0.005871 to 0.04452
  TB,0.05646,0.07008,0.01362,-0.008406 to 0.03565
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02520,4.985,P<0.001,***
  TB,0.01362,2.365,P < 0.05,*
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.03609,0.05186,0.01577,-0.002594 to 0.03414
  TB,0.05646,0.06017,0.003713,-0.01744 to 0.02486
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01577,3.284,P<0.01,**
  TB,0.003713,0.6713,P > 0.05,ns
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.03609,0.04557,0.009481,-0.008215 to 0.02718
  TB,0.05646,0.05251,-0.003943,-0.02439 to 0.01650
,,,,
Model,Difference,t,P value,Summary
  Yan,0.009481,2.049,P > 0.05,ns
  TB,-0.003943,0.7374,P > 0.05,ns
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.03609,0.1276,0.09155,0.06645 to 0.1166
  TB,0.05646,0.1280,0.07152,0.04488 to 0.09815
,,,,
Model,Difference,t,P value,Summary
  Yan,0.09155,13.95,P<0.001,***
  TB,0.07152,10.27,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.03609,0.09720,0.06111,0.03846 to 0.08375
  TB,0.05646,0.1001,0.04368,0.01914 to 0.06821
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06111,10.32,P<0.001,***
  TB,0.04368,6.806,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.03609,0.07854,0.04245,0.02145 to 0.06344
  TB,0.05646,0.07406,0.01760,-0.004797 to 0.04000
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04245,7.731,P<0.001,***
  TB,0.01760,3.005,P<0.01,**
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.03609,0.06865,0.03256,0.01251 to 0.05261
  TB,0.05646,0.06379,0.007332,-0.01416 to 0.02882
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03256,6.208,P<0.001,***
  TB,0.007332,1.305,P > 0.05,ns
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.03609,0.06145,0.02536,0.006018 to 0.04471
  TB,0.05646,0.05784,0.001382,-0.01956 to 0.02232
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02536,5.013,P<0.001,***
  TB,0.001382,0.2524,P > 0.05,ns
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.03609,0.1432,0.1071,0.08081 to 0.1333
  TB,0.05646,0.1492,0.09270,0.06458 to 0.1208
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1071,15.59,P<0.001,***
  TB,0.09270,12.60,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.03609,0.1092,0.07308,0.04944 to 0.09672
  TB,0.05646,0.1093,0.05287,0.02762 to 0.07812
,,,,
Model,Difference,t,P value,Summary
  Yan,0.07308,11.82,P<0.001,***
  TB,0.05287,8.006,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.03609,0.08824,0.05215,0.03028 to 0.07402
  TB,0.05646,0.08835,0.03190,0.008302 to 0.05549
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05215,9.118,P<0.001,***
  TB,0.03190,5.169,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.03609,0.06692,0.03083,0.01092 to 0.05073
  TB,0.05646,0.07345,0.01699,-0.005354 to 0.03933
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03083,5.922,P<0.001,***
  TB,0.01699,2.907,P<0.01,**
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.03609,0.05440,0.01831,-0.0003401 to 0.03697
  TB,0.05646,0.05887,0.002413,-0.01864 to 0.02346
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01831,3.754,P<0.001,***
  TB,0.002413,0.4382,P > 0.05,ns
,,,,
eL=-50.0 gnaps=2.4 vs eL=-50.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-50.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.03082,0.02752,-0.003305,-0.01826 to 0.01165
  TB,0.04481,0.03765,-0.007164,-0.02495 to 0.01062
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.003305,0.8449,P > 0.05,ns
  TB,-0.007164,1.540,P > 0.05,ns
,,,,
eL=-50.0 gnaps=2.4 vs eL=-50.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-50.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.03082,0.02520,-0.005623,-0.02028 to 0.009033
  TB,0.04481,0.03294,-0.01187,-0.02913 to 0.005402
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.005623,1.467,P > 0.05,ns
  TB,-0.01187,2.627,P < 0.05,*
,,,,
eL=-50.0 gnaps=2.4 vs eL=-50.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-50.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.03082,0.02346,-0.007364,-0.02179 to 0.007063
  TB,0.04481,0.02969,-0.01512,-0.03202 to 0.001788
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.007364,1.952,P > 0.05,ns
  TB,-0.01512,3.419,P<0.01,**
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.03082,0.09693,0.06611,0.04396 to 0.08826
  TB,0.04481,0.1086,0.06375,0.03947 to 0.08803
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06611,11.41,P<0.001,***
  TB,0.06375,10.04,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.03082,0.07509,0.04427,0.02412 to 0.06443
  TB,0.04481,0.08567,0.04086,0.01849 to 0.06323
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04427,8.399,P<0.001,***
  TB,0.04086,6.983,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.03082,0.06129,0.03047,0.01167 to 0.04926
  TB,0.04481,0.07008,0.02527,0.004277 to 0.04626
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03047,6.198,P<0.001,***
  TB,0.02527,4.603,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.03082,0.05186,0.02104,0.003236 to 0.03885
  TB,0.04481,0.06017,0.01536,-0.004707 to 0.03542
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02104,4.518,P<0.001,***
  TB,0.01536,2.927,P<0.01,**
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.03082,0.04557,0.01475,-0.002364 to 0.03187
  TB,0.04481,0.05251,0.007703,-0.01162 to 0.02702
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01475,3.296,P<0.01,**
  TB,0.007703,1.524,P > 0.05,ns
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.03082,0.1276,0.09682,0.07212 to 0.1215
  TB,0.04481,0.1280,0.08316,0.05738 to 0.1089
,,,,
Model,Difference,t,P value,Summary
  Yan,0.09682,14.99,P<0.001,***
  TB,0.08316,12.33,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.03082,0.09720,0.06638,0.04419 to 0.08857
  TB,0.04481,0.1001,0.05532,0.03171 to 0.07893
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06638,11.44,P<0.001,***
  TB,0.05532,8.959,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.03082,0.07854,0.04772,0.02721 to 0.06822
  TB,0.04481,0.07406,0.02925,0.007869 to 0.05062
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04772,8.897,P<0.001,***
  TB,0.02925,5.231,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.03082,0.06865,0.03783,0.01829 to 0.05737
  TB,0.04481,0.06379,0.01898,-0.001444 to 0.03940
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03783,7.401,P<0.001,***
  TB,0.01898,3.553,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.03082,0.06145,0.03063,0.01182 to 0.04945
  TB,0.04481,0.05784,0.01303,-0.006816 to 0.03287
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03063,6.225,P<0.001,***
  TB,0.01303,2.510,P < 0.05,*
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.03082,0.1432,0.1123,0.08646 to 0.1382
  TB,0.04481,0.1492,0.1043,0.07703 to 0.1317
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1123,16.60,P<0.001,***
  TB,0.1043,14.60,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.03082,0.1092,0.07835,0.05514 to 0.1016
  TB,0.04481,0.1093,0.06451,0.04016 to 0.08886
,,,,
Model,Difference,t,P value,Summary
  Yan,0.07835,12.91,P<0.001,***
  TB,0.06451,10.13,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.03082,0.08824,0.05742,0.03602 to 0.07882
  TB,0.04481,0.08835,0.04354,0.02091 to 0.06617
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05742,10.26,P<0.001,***
  TB,0.04354,7.357,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.03082,0.06692,0.03610,0.01671 to 0.05548
  TB,0.04481,0.07345,0.02864,0.007315 to 0.04996
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03610,7.119,P<0.001,***
  TB,0.02864,5.135,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.03082,0.05440,0.02358,0.005481 to 0.04169
  TB,0.04481,0.05887,0.01406,-0.005904 to 0.03402
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02358,4.981,P<0.001,***
  TB,0.01406,2.693,P < 0.05,*
,,,,
eL=-50.0 gnaps=3.0 vs eL=-50.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=3.0,eL=-50.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.02752,0.02520,-0.002318,-0.01654 to 0.01190
  TB,0.03765,0.03294,-0.004702,-0.02115 to 0.01175
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.002318,0.6235,P > 0.05,ns
  TB,-0.004702,1.093,P > 0.05,ns
,,,,
eL=-50.0 gnaps=3.0 vs eL=-50.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.0,eL=-50.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.02752,0.02346,-0.004059,-0.01804 to 0.009922
  TB,0.03765,0.02969,-0.007951,-0.02402 to 0.008119
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.004059,1.110,P > 0.05,ns
  TB,-0.007951,1.892,P > 0.05,ns
,,,,
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=3.0,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.02752,0.09693,0.06941,0.04755 to 0.09128
  TB,0.03765,0.1086,0.07091,0.04720 to 0.09462
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06941,12.14,P<0.001,***
  TB,0.07091,11.44,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=3.0,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.02752,0.07509,0.04758,0.02774 to 0.06742
  TB,0.03765,0.08567,0.04802,0.02627 to 0.06977
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04758,9.170,P<0.001,***
  TB,0.04802,8.442,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=3.0,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.02752,0.06129,0.03377,0.01532 to 0.05223
  TB,0.03765,0.07008,0.03243,0.01211 to 0.05276
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03377,6.997,P<0.001,***
  TB,0.03243,6.101,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=3.0,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.02752,0.05186,0.02435,0.006901 to 0.04180
  TB,0.03765,0.06017,0.02252,0.003154 to 0.04189
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02435,5.336,P<0.001,***
  TB,0.02252,4.446,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.0,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.02752,0.04557,0.01806,0.001315 to 0.03480
  TB,0.03765,0.05251,0.01487,-0.003728 to 0.03346
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01806,4.124,P<0.001,***
  TB,0.01487,3.057,P<0.01,**
,,,,
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=3.0,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.02752,0.1276,0.1001,0.07569 to 0.1246
  TB,0.03765,0.1280,0.09033,0.06508 to 0.1156
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1001,15.67,P<0.001,***
  TB,0.09033,13.68,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=3.0,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.02752,0.09720,0.06968,0.04778 to 0.09159
  TB,0.03765,0.1001,0.06248,0.03946 to 0.08551
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06968,12.16,P<0.001,***
  TB,0.06248,10.38,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=3.0,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.02752,0.07854,0.05102,0.03083 to 0.07122
  TB,0.03765,0.07406,0.03641,0.01569 to 0.05714
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05102,9.660,P<0.001,***
  TB,0.03641,6.717,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.02752,0.06865,0.04114,0.02192 to 0.06035
  TB,0.03765,0.06379,0.02614,0.006404 to 0.04588
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04114,8.185,P<0.001,***
  TB,0.02614,5.064,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.02752,0.06145,0.03394,0.01546 to 0.05241
  TB,0.03765,0.05784,0.02019,0.001053 to 0.03933
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03394,7.024,P<0.001,***
  TB,0.02019,4.034,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.02752,0.1432,0.1156,0.09002 to 0.1413
  TB,0.03765,0.1492,0.1115,0.08470 to 0.1383
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1156,17.25,P<0.001,***
  TB,0.1115,15.90,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.02752,0.1092,0.08165,0.05872 to 0.1046
  TB,0.03765,0.1093,0.07168,0.04790 to 0.09546
,,,,
Model,Difference,t,P value,Summary
  Yan,0.08165,13.61,P<0.001,***
  TB,0.07168,11.53,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.02752,0.08824,0.06073,0.03962 to 0.08183
  TB,0.03765,0.08835,0.05071,0.02869 to 0.07272
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06073,11.00,P<0.001,***
  TB,0.05071,8.808,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.02752,0.06692,0.03940,0.02034 to 0.05846
  TB,0.03765,0.07345,0.03580,0.01513 to 0.05647
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03940,7.905,P<0.001,***
  TB,0.03580,6.623,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.02752,0.05440,0.02689,0.009139 to 0.04464
  TB,0.03765,0.05887,0.02122,0.001960 to 0.04048
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02689,5.792,P<0.001,***
  TB,0.02122,4.213,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-50.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.6,eL=-50.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.02520,0.02346,-0.001741,-0.01540 to 0.01192
  TB,0.03294,0.02969,-0.003249,-0.01875 to 0.01225
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.001741,0.4872,P > 0.05,ns
  TB,-0.003249,0.8016,P > 0.05,ns
,,,,
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=3.6,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.02520,0.09693,0.07173,0.05007 to 0.09339
  TB,0.03294,0.1086,0.07561,0.05229 to 0.09894
,,,,
Model,Difference,t,P value,Summary
  Yan,0.07173,12.66,P<0.001,***
  TB,0.07561,12.40,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=3.6,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.02520,0.07509,0.04990,0.03028 to 0.06951
  TB,0.03294,0.08567,0.05272,0.03139 to 0.07405
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04990,9.727,P<0.001,***
  TB,0.05272,9.451,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=3.6,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.02520,0.06129,0.03609,0.01788 to 0.05430
  TB,0.03294,0.07008,0.03714,0.01726 to 0.05701
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03609,7.577,P<0.001,***
  TB,0.03714,7.143,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=3.6,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.02520,0.05186,0.02667,0.009476 to 0.04386
  TB,0.03294,0.06017,0.02722,0.008327 to 0.04612
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02667,5.931,P<0.001,***
  TB,0.02722,5.508,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.6,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.02520,0.04557,0.02038,0.003901 to 0.03685
  TB,0.03294,0.05251,0.01957,0.001465 to 0.03767
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02038,4.729,P<0.001,***
  TB,0.01957,4.133,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=3.6,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.02520,0.1276,0.1024,0.07819 to 0.1267
  TB,0.03294,0.1280,0.09503,0.07014 to 0.1199
,,,,
Model,Difference,t,P value,Summary
