Parameter,,,,
Table Analyzed,Peaks Amplitude,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.302,5.362,0.05997,0.03098 to 0.08896
  TB,5.344,5.434,0.09027,0.05723 to 0.1233
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05997,7.909,P<0.001,***
  TB,0.09027,10.44,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.302,5.381,0.07947,0.05192 to 0.1070
  TB,5.344,5.458,0.1145,0.08274 to 0.1462
,,,,
Model,Difference,t,P value,Summary
  Yan,0.07947,11.03,P<0.001,***
  TB,0.1145,13.79,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.302,5.395,0.09364,0.06709 to 0.1202
  TB,5.344,5.474,0.1301,0.09941 to 0.1607
,,,,
Model,Difference,t,P value,Summary
  Yan,0.09364,13.49,P<0.001,***
  TB,0.1301,16.22,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.302,5.309,0.007529,-0.03012 to 0.04518
  TB,5.344,5.333,-0.01079,-0.05074 to 0.02916
,,,,
Model,Difference,t,P value,Summary
  Yan,0.007529,0.7646,P > 0.05,ns
  TB,-0.01079,1.033,P > 0.05,ns
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.302,5.358,0.05681,0.02284 to 0.09078
  TB,5.344,5.261,-0.08316,-0.1200 to -0.04635
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05681,6.395,P<0.001,***
  TB,-0.08316,8.638,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.302,5.436,0.1346,0.1031 to 0.1661
  TB,5.344,5.515,0.1710,0.1374 to 0.2046
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1346,16.34,P<0.001,***
  TB,0.1710,19.46,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.302,5.463,0.1615,0.1314 to 0.1916
  TB,5.344,5.584,0.2402,0.2079 to 0.2724
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1615,20.52,P<0.001,***
  TB,0.2402,28.49,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.302,5.488,0.1861,0.1571 to 0.2152
  TB,5.344,5.504,0.1604,0.1290 to 0.1918
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1861,24.52,P<0.001,***
  TB,0.1604,19.53,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.302,5.353,0.05181,0.01241 to 0.09121
  TB,5.344,5.415,0.07133,0.02914 to 0.1135
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05181,5.028,P<0.001,***
  TB,0.07133,6.464,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.302,4.925,-0.3767,-0.4122 to -0.3413
  TB,5.344,4.800,-0.5436,-0.5815 to -0.5057
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.3767,40.62,P<0.001,***
  TB,-0.5436,54.87,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.302,4.696,-0.6059,-0.6387 to -0.5731
  TB,5.344,4.126,-1.218,-1.254 to -1.183
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.6059,70.61,P<0.001,***
  TB,-1.218,131.6,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.302,5.129,-0.1723,-0.2022 to -0.1425
  TB,5.344,3.648,-1.696,-1.729 to -1.662
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.1723,22.07,P<0.001,***
  TB,-1.696,193.4,P<0.001,***
,,,,
eL=-50.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.302,5.460,0.1587,0.1307 to 0.1867
  TB,5.344,3.870,-1.474,-1.506 to -1.442
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1587,21.68,P<0.001,***
  TB,-1.474,178.5,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-50.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-50.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.324,5.342,0.01717,-0.005269 to 0.03961
  TB,5.369,5.387,0.01788,-0.008794 to 0.04456
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01717,2.926,P<0.01,**
  TB,0.01788,2.563,P < 0.05,*
,,,,
eL=-50.0 gnaps=2.4 vs eL=-50.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-50.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.324,5.354,0.02958,0.007595 to 0.05157
  TB,5.369,5.402,0.03320,0.007291 to 0.05910
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02958,5.144,P<0.001,***
  TB,0.03320,4.900,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-50.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-50.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.324,5.363,0.03878,0.01714 to 0.06042
  TB,5.369,5.414,0.04507,0.01971 to 0.07043
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03878,6.851,P<0.001,***
  TB,0.04507,6.795,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.324,5.293,-0.03157,-0.06480 to 0.001665
  TB,5.369,5.356,-0.01349,-0.04991 to 0.02293
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.03157,3.632,P<0.001,***
  TB,-0.01349,1.416,P > 0.05,ns
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.324,5.333,0.008752,-0.02148 to 0.03899
  TB,5.369,5.400,0.03143,-0.002128 to 0.06499
,,,,
Model,Difference,t,P value,Summary
  Yan,0.008752,1.107,P > 0.05,ns
  TB,0.03143,3.581,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.324,5.362,0.03719,0.008997 to 0.06539
  TB,5.369,5.434,0.06516,0.03367 to 0.09665
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03719,5.044,P<0.001,***
  TB,0.06516,7.911,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.324,5.381,0.05670,0.02998 to 0.08341
  TB,5.369,5.458,0.08935,0.05925 to 0.1195
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05670,8.115,P<0.001,***
  TB,0.08935,11.35,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.324,5.395,0.07087,0.04519 to 0.09654
  TB,5.369,5.474,0.1050,0.07598 to 0.1339
,,,,
Model,Difference,t,P value,Summary
  Yan,0.07087,10.55,P<0.001,***
  TB,0.1050,13.85,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.324,5.309,-0.01525,-0.05229 to 0.02179
  TB,5.369,5.333,-0.03591,-0.07458 to 0.002767
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.01525,1.574,P > 0.05,ns
  TB,-0.03591,3.550,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.324,5.358,0.03404,0.0007440 to 0.06733
  TB,5.369,5.261,-0.1083,-0.1437 to -0.07285
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03404,3.909,P<0.001,***
  TB,-0.1083,11.69,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.324,5.436,0.1118,0.08102 to 0.1425
  TB,5.369,5.515,0.1459,0.1138 to 0.1779
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1118,13.89,P<0.001,***
  TB,0.1459,17.39,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.324,5.463,0.1387,0.1094 to 0.1680
  TB,5.369,5.584,0.2151,0.1844 to 0.2457
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1387,18.09,P<0.001,***
  TB,0.2151,26.84,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.324,5.488,0.1634,0.1351 to 0.1916
  TB,5.369,5.504,0.1353,0.1055 to 0.1651
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1634,22.13,P<0.001,***
  TB,0.1353,17.38,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.324,5.353,0.02903,-0.009781 to 0.06785
  TB,5.369,5.415,0.04621,0.005229 to 0.08719
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02903,2.860,P<0.01,**
  TB,0.04621,4.311,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.324,4.925,-0.3995,-0.4343 to -0.3647
  TB,5.369,4.800,-0.5687,-0.6052 to -0.5322
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.3995,43.88,P<0.001,***
  TB,-0.5687,59.53,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.324,4.696,-0.6286,-0.6607 to -0.5965
  TB,5.369,4.126,-1.243,-1.277 to -1.209
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.6286,74.87,P<0.001,***
  TB,-1.243,140.0,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.324,5.129,-0.1951,-0.2242 to -0.1660
  TB,5.369,3.648,-1.721,-1.753 to -1.689
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.1951,25.65,P<0.001,***
  TB,-1.721,205.7,P<0.001,***
,,,,
eL=-50.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.324,5.460,0.1359,0.1087 to 0.1631
  TB,5.369,3.870,-1.499,-1.529 to -1.469
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1359,19.13,P<0.001,***
  TB,-1.499,191.4,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-50.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=3.0,eL=-50.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.342,5.354,0.01241,-0.008916 to 0.03374
  TB,5.387,5.402,0.01531,-0.009370 to 0.04000
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01241,2.225,P > 0.05,ns
  TB,0.01531,2.372,P < 0.05,*
,,,,
eL=-50.0 gnaps=3.0 vs eL=-50.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.0,eL=-50.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.342,5.363,0.02161,0.0006369 to 0.04259
  TB,5.387,5.414,0.02718,0.003076 to 0.05129
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02161,3.940,P<0.001,***
  TB,0.02718,4.311,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=3.0,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.342,5.293,-0.04874,-0.08154 to -0.01594
  TB,5.387,5.356,-0.03137,-0.06693 to 0.004192
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.04874,5.681,P<0.001,***
  TB,-0.03137,3.373,P<0.01,**
,,,,
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=3.0,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.342,5.333,-0.008417,-0.03818 to 0.02135
  TB,5.387,5.400,0.01355,-0.01908 to 0.04618
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.008417,1.081,P > 0.05,ns
  TB,0.01355,1.588,P > 0.05,ns
,,,,
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=3.0,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.342,5.362,0.02003,-0.007661 to 0.04771
  TB,5.387,5.434,0.04728,0.01678 to 0.07777
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02003,2.766,P < 0.05,*
  TB,0.04728,5.928,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=3.0,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.342,5.381,0.03953,0.01335 to 0.06570
  TB,5.387,5.458,0.07147,0.04241 to 0.1005
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03953,5.774,P<0.001,***
  TB,0.07147,9.404,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.0,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.342,5.395,0.05370,0.02858 to 0.07881
  TB,5.387,5.474,0.08708,0.05918 to 0.1150
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05370,8.175,P<0.001,***
  TB,0.08708,11.93,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=3.0,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.342,5.309,-0.03242,-0.06907 to 0.004237
  TB,5.387,5.333,-0.05379,-0.09166 to -0.01592
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.03242,3.382,P<0.01,**
  TB,-0.05379,5.432,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=3.0,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.342,5.358,0.01687,-0.01599 to 0.04973
  TB,5.387,5.261,-0.1262,-0.1607 to -0.09162
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01687,1.963,P > 0.05,ns
  TB,-0.1262,13.97,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=3.0,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.342,5.436,0.09461,0.06432 to 0.1249
  TB,5.387,5.515,0.1280,0.09689 to 0.1591
,,,,
Model,Difference,t,P value,Summary
  Yan,0.09461,11.94,P<0.001,***
  TB,0.1280,15.74,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.342,5.463,0.1215,0.09269 to 0.1503
  TB,5.387,5.584,0.1972,0.1676 to 0.2268
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1215,16.12,P<0.001,***
  TB,0.1972,25.46,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.342,5.488,0.1462,0.1185 to 0.1739
  TB,5.387,5.504,0.1174,0.08871 to 0.1461
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1462,20.17,P<0.001,***
  TB,0.1174,15.64,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.342,5.353,0.01187,-0.02658 to 0.05031
  TB,5.387,5.415,0.02833,-0.01189 to 0.06855
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01187,1.180,P > 0.05,ns
  TB,0.02833,2.693,P < 0.05,*
,,,,
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.342,4.925,-0.4167,-0.4511 to -0.3823
  TB,5.387,4.800,-0.5866,-0.6223 to -0.5509
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.4167,46.31,P<0.001,***
  TB,-0.5866,62.88,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.342,4.696,-0.6458,-0.6775 to -0.6141
  TB,5.387,4.126,-1.261,-1.294 to -1.228
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.6458,78.00,P<0.001,***
  TB,-1.261,146.0,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.342,5.129,-0.2123,-0.2408 to -0.1837
  TB,5.387,3.648,-1.739,-1.770 to -1.708
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.2123,28.39,P<0.001,***
  TB,-1.739,214.4,P<0.001,***
,,,,
eL=-50.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.342,5.460,0.1187,0.09211 to 0.1454
  TB,5.387,3.870,-1.517,-1.546 to -1.488
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1187,17.05,P<0.001,***
  TB,-1.517,200.7,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-50.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.6,eL=-50.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.354,5.363,0.009197,-0.01129 to 0.02969
  TB,5.402,5.414,0.01187,-0.01138 to 0.03512
,,,,
Model,Difference,t,P value,Summary
  Yan,0.009197,1.716,P > 0.05,ns
  TB,0.01187,1.952,P > 0.05,ns
,,,,
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=3.6,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.354,5.293,-0.06115,-0.09365 to -0.02866
  TB,5.402,5.356,-0.04668,-0.08167 to -0.01170
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.06115,7.195,P<0.001,***
  TB,-0.04668,5.102,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=3.6,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.354,5.333,-0.02083,-0.05025 to 0.008593
  TB,5.402,5.400,-0.001764,-0.03376 to 0.03023
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.02083,2.707,P < 0.05,*
  TB,-0.001764,0.2108,P > 0.05,ns
,,,,
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=3.6,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.354,5.362,0.007611,-0.01971 to 0.03493
  TB,5.402,5.434,0.03196,0.002141 to 0.06178
,,,,
Model,Difference,t,P value,Summary
  Yan,0.007611,1.065,P > 0.05,ns
  TB,0.03196,4.098,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=3.6,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.354,5.381,0.02711,0.001323 to 0.05290
  TB,5.402,5.458,0.05616,0.02780 to 0.08451
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02711,4.020,P<0.001,***
  TB,0.05616,7.574,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.6,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.354,5.395,0.04128,0.01657 to 0.06600
  TB,5.402,5.474,0.07176,0.04460 to 0.09892
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04128,6.387,P<0.001,***
  TB,0.07176,10.10,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=3.6,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.354,5.309,-0.04483,-0.08121 to -0.008451
  TB,5.402,5.333,-0.06910,-0.1064 to -0.03178
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.04483,4.712,P<0.001,***
  TB,-0.06910,7.079,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=3.6,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.354,5.358,0.004452,-0.02810 to 0.03701
  TB,5.402,5.261,-0.1415,-0.1754 to -0.1075
,,,,
Model,Difference,t,P value,Summary
