Parameter,,,,
Table Analyzed,Burst Duration,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,0.5960,0.8476,0.2516,0.2154 to 0.2878
  Yan,1.012,1.269,0.2569,0.2206 to 0.2931
,,,,
Model,Difference,t,P value,Summary
  TB,0.2516,25.57,P<0.001,***
  Yan,0.2569,26.10,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.5960,1.356,0.7605,0.7242 to 0.7967
  Yan,1.012,1.776,0.7644,0.7282 to 0.8006
,,,,
Model,Difference,t,P value,Summary
  TB,0.7605,77.28,P<0.001,***
  Yan,0.7644,77.68,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.5960,0.5957,-0.0002306,-0.03162 to 0.03116
  Yan,1.012,2.089,1.077,1.041 to 1.113
,,,,
Model,Difference,t,P value,Summary
  TB,-0.0002306,0.02703,P > 0.05,ns
  Yan,1.077,109.4,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,0.5960,0.3226,-0.2734,-0.3096 to -0.2372
  Yan,1.012,0.3442,-0.6677,-0.7039 to -0.6314
,,,,
Model,Difference,t,P value,Summary
  TB,-0.2734,27.78,P<0.001,***
  Yan,-0.6677,67.85,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,0.5960,0.3720,-0.2239,-0.2602 to -0.1877
  Yan,1.012,0.3965,-0.6154,-0.6516 to -0.5792
,,,,
Model,Difference,t,P value,Summary
  TB,-0.2239,22.76,P<0.001,***
  Yan,-0.6154,62.54,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,0.5960,0.4263,-0.1697,-0.2059 to -0.1335
  Yan,1.012,0.4546,-0.5573,-0.5936 to -0.5211
,,,,
Model,Difference,t,P value,Summary
  TB,-0.1697,17.24,P<0.001,***
  Yan,-0.5573,56.64,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.5960,0.5028,-0.09317,-0.1294 to -0.05696
  Yan,1.012,0.6621,-0.3498,-0.3860 to -0.3136
,,,,
Model,Difference,t,P value,Summary
  TB,-0.09317,9.469,P<0.001,***
  Yan,-0.3498,35.55,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.5960,0.6209,0.02490,-0.01131 to 0.06112
  Yan,1.012,0.9662,-0.04568,-0.08190 to -0.009471
,,,,
Model,Difference,t,P value,Summary
  TB,0.02490,2.531,P < 0.05,*
  Yan,-0.04568,4.643,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.371,1.970,0.5984,0.5622 to 0.6346
  Yan,1.848,2.332,0.4840,0.4478 to 0.5202
,,,,
Model,Difference,t,P value,Summary
  TB,0.5984,60.82,P<0.001,***
  Yan,0.4840,49.19,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.371,2.313,0.9414,0.9052 to 0.9777
  Yan,1.848,2.670,0.8216,0.7854 to 0.8578
,,,,
Model,Difference,t,P value,Summary
  TB,0.9414,95.68,P<0.001,***
  Yan,0.8216,83.49,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.371,2.567,1.196,1.160 to 1.232
  Yan,1.848,2.888,1.039,1.003 to 1.076
,,,,
Model,Difference,t,P value,Summary
  TB,1.196,121.5,P<0.001,***
  Yan,1.039,105.6,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.371,0.3859,-0.9853,-1.021 to -0.9491
  Yan,1.848,0.3877,-1.461,-1.497 to -1.424
,,,,
Model,Difference,t,P value,Summary
  TB,-0.9853,100.1,P<0.001,***
  Yan,-1.461,148.4,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.371,0.4720,-0.8992,-0.9354 to -0.8630
  Yan,1.848,0.6454,-1.203,-1.239 to -1.167
,,,,
Model,Difference,t,P value,Summary
  TB,-0.8992,91.38,P<0.001,***
  Yan,-1.203,122.2,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.371,0.8476,-0.5237,-0.5599 to -0.4874
  Yan,1.848,1.269,-0.5795,-0.6157 to -0.5433
,,,,
Model,Difference,t,P value,Summary
  TB,-0.5237,53.22,P<0.001,***
  Yan,-0.5795,58.90,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.371,1.356,-0.01482,-0.05103 to 0.02140
  Yan,1.848,1.776,-0.07197,-0.1082 to -0.03576
,,,,
Model,Difference,t,P value,Summary
  TB,-0.01482,1.506,P > 0.05,ns
  Yan,-0.07197,7.314,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.371,0.5957,-0.7755,-0.8069 to -0.7441
  Yan,1.848,2.089,0.2405,0.2043 to 0.2767
,,,,
Model,Difference,t,P value,Summary
  TB,-0.7755,90.91,P<0.001,***
  Yan,0.2405,24.44,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.371,0.3226,-1.049,-1.085 to -1.012
  Yan,1.848,0.3442,-1.504,-1.540 to -1.468
,,,,
Model,Difference,t,P value,Summary
  TB,-1.049,106.6,P<0.001,***
  Yan,-1.504,152.9,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.371,0.3720,-0.9992,-1.035 to -0.9630
  Yan,1.848,0.3965,-1.452,-1.488 to -1.416
,,,,
Model,Difference,t,P value,Summary
  TB,-0.9992,101.5,P<0.001,***
  Yan,-1.452,147.5,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.371,0.4263,-0.9449,-0.9812 to -0.9087
  Yan,1.848,0.4546,-1.394,-1.430 to -1.358
,,,,
Model,Difference,t,P value,Summary
  TB,-0.9449,96.03,P<0.001,***
  Yan,-1.394,141.6,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.371,0.5028,-0.8684,-0.9047 to -0.8322
  Yan,1.848,0.6621,-1.186,-1.222 to -1.150
,,,,
Model,Difference,t,P value,Summary
  TB,-0.8684,88.26,P<0.001,***
  Yan,-1.186,120.6,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.371,0.6209,-0.7504,-0.7866 to -0.7142
  Yan,1.848,0.9662,-0.8821,-0.9183 to -0.8458
,,,,
Model,Difference,t,P value,Summary
  TB,-0.7504,76.26,P<0.001,***
  Yan,-0.8821,89.64,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.970,2.313,0.3430,0.3068 to 0.3792
  Yan,2.332,2.670,0.3376,0.3014 to 0.3738
,,,,
Model,Difference,t,P value,Summary
  TB,0.3430,34.86,P<0.001,***
  Yan,0.3376,34.31,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.970,2.567,0.5974,0.5612 to 0.6336
  Yan,2.332,2.888,0.5554,0.5191 to 0.5916
,,,,
Model,Difference,t,P value,Summary
  TB,0.5974,60.71,P<0.001,***
  Yan,0.5554,56.44,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.970,0.3859,-1.584,-1.620 to -1.548
  Yan,2.332,0.3877,-1.945,-1.981 to -1.908
,,,,
Model,Difference,t,P value,Summary
  TB,-1.584,160.9,P<0.001,***
  Yan,-1.945,197.6,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.970,0.4720,-1.498,-1.534 to -1.461
  Yan,2.332,0.6454,-1.687,-1.723 to -1.651
,,,,
Model,Difference,t,P value,Summary
  TB,-1.498,152.2,P<0.001,***
  Yan,-1.687,171.4,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.970,0.8476,-1.122,-1.158 to -1.086
  Yan,2.332,1.269,-1.064,-1.100 to -1.027
,,,,
Model,Difference,t,P value,Summary
  TB,-1.122,114.0,P<0.001,***
  Yan,-1.064,108.1,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.970,1.356,-0.6132,-0.6495 to -0.5770
  Yan,2.332,1.776,-0.5560,-0.5922 to -0.5197
,,,,
Model,Difference,t,P value,Summary
  TB,-0.6132,62.32,P<0.001,***
  Yan,-0.5560,56.50,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.970,0.5957,-1.374,-1.405 to -1.343
  Yan,2.332,2.089,-0.2435,-0.2797 to -0.2073
,,,,
Model,Difference,t,P value,Summary
  TB,-1.374,161.1,P<0.001,***
  Yan,-0.2435,24.74,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.970,0.3226,-1.647,-1.683 to -1.611
  Yan,2.332,0.3442,-1.988,-2.024 to -1.952
,,,,
Model,Difference,t,P value,Summary
  TB,-1.647,167.4,P<0.001,***
  Yan,-1.988,202.0,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.970,0.3720,-1.598,-1.634 to -1.561
  Yan,2.332,0.3965,-1.936,-1.972 to -1.900
,,,,
Model,Difference,t,P value,Summary
  TB,-1.598,162.4,P<0.001,***
  Yan,-1.936,196.7,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.970,0.4263,-1.543,-1.580 to -1.507
  Yan,2.332,0.4546,-1.878,-1.914 to -1.841
,,,,
Model,Difference,t,P value,Summary
  TB,-1.543,156.8,P<0.001,***
  Yan,-1.878,190.8,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.970,0.5028,-1.467,-1.503 to -1.431
  Yan,2.332,0.6621,-1.670,-1.706 to -1.634
,,,,
Model,Difference,t,P value,Summary
  TB,-1.467,149.1,P<0.001,***
  Yan,-1.670,169.7,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.970,0.6209,-1.349,-1.385 to -1.313
  Yan,2.332,0.9662,-1.366,-1.402 to -1.330
,,,,
Model,Difference,t,P value,Summary
  TB,-1.349,137.1,P<0.001,***
  Yan,-1.366,138.8,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,2.313,2.567,0.2544,0.2182 to 0.2906
  Yan,2.670,2.888,0.2178,0.1816 to 0.2540
,,,,
Model,Difference,t,P value,Summary
  TB,0.2544,25.85,P<0.001,***
  Yan,0.2178,22.13,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,2.313,0.3859,-1.927,-1.963 to -1.891
  Yan,2.670,0.3877,-2.282,-2.318 to -2.246
,,,,
Model,Difference,t,P value,Summary
  TB,-1.927,195.8,P<0.001,***
  Yan,-2.282,231.9,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,2.313,0.4720,-1.841,-1.877 to -1.804
  Yan,2.670,0.6454,-2.024,-2.061 to -1.988
,,,,
Model,Difference,t,P value,Summary
  TB,-1.841,187.1,P<0.001,***
  Yan,-2.024,205.7,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,2.313,0.8476,-1.465,-1.501 to -1.429
  Yan,2.670,1.269,-1.401,-1.437 to -1.365
,,,,
Model,Difference,t,P value,Summary
  TB,-1.465,148.9,P<0.001,***
  Yan,-1.401,142.4,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,2.313,1.356,-0.9563,-0.9925 to -0.9201
  Yan,2.670,1.776,-0.8935,-0.9297 to -0.8573
,,,,
Model,Difference,t,P value,Summary
  TB,-0.9563,97.18,P<0.001,***
  Yan,-0.8935,90.81,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,2.313,0.5957,-1.717,-1.748 to -1.686
  Yan,2.670,2.089,-0.5811,-0.6173 to -0.5448
,,,,
Model,Difference,t,P value,Summary
  TB,-1.717,201.3,P<0.001,***
  Yan,-0.5811,59.05,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,2.313,0.3226,-1.990,-2.026 to -1.954
  Yan,2.670,0.3442,-2.326,-2.362 to -2.289
,,,,
Model,Difference,t,P value,Summary
  TB,-1.990,202.2,P<0.001,***
  Yan,-2.326,236.3,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,2.313,0.3720,-1.941,-1.977 to -1.904
  Yan,2.670,0.3965,-2.273,-2.310 to -2.237
,,,,
Model,Difference,t,P value,Summary
  TB,-1.941,197.2,P<0.001,***
  Yan,-2.273,231.0,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,2.313,0.4263,-1.886,-1.923 to -1.850
  Yan,2.670,0.4546,-2.215,-2.251 to -2.179
,,,,
Model,Difference,t,P value,Summary
  TB,-1.886,191.7,P<0.001,***
  Yan,-2.215,225.1,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,2.313,0.5028,-1.810,-1.846 to -1.774
  Yan,2.670,0.6621,-2.008,-2.044 to -1.972
,,,,
Model,Difference,t,P value,Summary
  TB,-1.810,183.9,P<0.001,***
  Yan,-2.008,204.0,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,2.313,0.6209,-1.692,-1.728 to -1.656
  Yan,2.670,0.9662,-1.704,-1.740 to -1.667
,,,,
Model,Difference,t,P value,Summary
  TB,-1.692,171.9,P<0.001,***
  Yan,-1.704,173.1,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,2.567,0.3859,-2.181,-2.217 to -2.145
  Yan,2.888,0.3877,-2.500,-2.536 to -2.464
,,,,
Model,Difference,t,P value,Summary
  TB,-2.181,221.7,P<0.001,***
  Yan,-2.500,254.1,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,2.567,0.4720,-2.095,-2.131 to -2.059
  Yan,2.888,0.6454,-2.242,-2.278 to -2.206
,,,,
Model,Difference,t,P value,Summary
  TB,-2.095,212.9,P<0.001,***
  Yan,-2.242,227.9,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,2.567,0.8476,-1.719,-1.756 to -1.683
  Yan,2.888,1.269,-1.619,-1.655 to -1.583
,,,,
Model,Difference,t,P value,Summary
  TB,-1.719,174.7,P<0.001,***
  Yan,-1.619,164.5,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,2.567,1.356,-1.211,-1.247 to -1.174
  Yan,2.888,1.776,-1.111,-1.148 to -1.075
,,,,
Model,Difference,t,P value,Summary
  TB,-1.211,123.0,P<0.001,***
  Yan,-1.111,112.9,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,2.567,0.5957,-1.971,-2.003 to -1.940
  Yan,2.888,2.089,-0.7988,-0.8350 to -0.7626
,,,,
Model,Difference,t,P value,Summary
  TB,-1.971,231.1,P<0.001,***
  Yan,-0.7988,81.18,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,2.567,0.3226,-2.244,-2.281 to -2.208
  Yan,2.888,0.3442,-2.543,-2.580 to -2.507
,,,,
Model,Difference,t,P value,Summary
  TB,-2.244,228.1,P<0.001,***
  Yan,-2.543,258.5,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,2.567,0.3720,-2.195,-2.231 to -2.159
  Yan,2.888,0.3965,-2.491,-2.527 to -2.455
,,,,
Model,Difference,t,P value,Summary
  TB,-2.195,223.1,P<0.001,***
  Yan,-2.491,253.2,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,2.567,0.4263,-2.141,-2.177 to -2.105
  Yan,2.888,0.4546,-2.433,-2.469 to -2.397
,,,,
Model,Difference,t,P value,Summary
  TB,-2.141,217.6,P<0.001,***
  Yan,-2.433,247.3,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,2.567,0.5028,-2.064,-2.100 to -2.028
  Yan,2.888,0.6621,-2.226,-2.262 to -2.189
,,,,
Model,Difference,t,P value,Summary
  TB,-2.064,209.8,P<0.001,***
  Yan,-2.226,226.2,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,2.567,0.6209,-1.946,-1.982 to -1.910
  Yan,2.888,0.9662,-1.921,-1.958 to -1.885
,,,,
Model,Difference,t,P value,Summary
  TB,-1.946,197.8,P<0.001,***
  Yan,-1.921,195.3,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,0.3859,0.4720,0.08607,0.04986 to 0.1223
  Yan,0.3877,0.6454,0.2578,0.2215 to 0.2940
,,,,
Model,Difference,t,P value,Summary
  TB,0.08607,8.747,P<0.001,***
  Yan,0.2578,26.19,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,0.3859,0.8476,0.4616,0.4254 to 0.4978
  Yan,0.3877,1.269,0.8811,0.8449 to 0.9173
,,,,
Model,Difference,t,P value,Summary
  TB,0.4616,46.91,P<0.001,***
  Yan,0.8811,89.54,P<0.001,***
,,,,
